,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
118,119,119,L06,BMT,Canarsie,1 AV,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn,1,,,,,
395,395,395,624,IRT,Lexington Av,103 ST,M,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown,0,,,,,
155,156,156,A18,IND,8th Av - Fulton St,103 ST,M,B C,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
309,309,309,119,IRT,Broadway - 7Av,103 ST,M,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown,0,,,,,
450,450,450,706,IRT,Flushing,103 ST-CORONA PLAZA,Q,7,Elevated,40.749865,-73.8627,Flushing,Manhattan,0,,,,,
81,82,82,J14,BMT,Jamaica,104 ST,Q,J Z,Elevated,40.695178,-73.84433,Jamaica,Manhattan,0,,,,,
193,193,193,A63,IND,Liberty Av,104 ST,Q,A,Elevated,40.681711,-73.837683,Manhattan,Lefferts Blvd,0,,,,,
394,394,394,623,IRT,Lexington Av,110 ST,M,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown,0,,,,,
194,194,194,A64,IND,Liberty Av,111 ST,Q,A,Elevated,40.684331,-73.832163,Manhattan,Lefferts Blvd,0,,,,,
449,449,449,705,IRT,Flushing,111 ST,Q,7,Elevated,40.75173,-73.855334,Flushing,Manhattan,0,,,,,
80,81,81,J13,BMT,Jamaica,111 ST,Q,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan,0,,,,,
153,154,154,A16,IND,8th Av - Fulton St,116 ST,M,B C,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
393,393,393,622,IRT,Lexington Av,116 ST,M,6,Subway,40.798629,-73.941617,Uptown & The Bronx,Downtown,0,,,,,
440,440,440,226,IRT,Lenox - White Plains Rd,116 ST,M,2 3,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
307,307,307,117,IRT,Broadway - 7Av,116 ST-COLUMBIA UNIVERSITY,M,1,Subway,40.807722,-73.96411,Uptown & The Bronx,Downtown,0,,,,,
79,80,80,J12,BMT,Jamaica,121 ST,Q,J Z,Elevated,40.700492,-73.828294,Jamaica,Manhattan,0,,,,,
306,306,306,116,IRT,Broadway - 7Av,125 ST,M,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown,0,,,,,
152,153,153,A15,IND,8th Av - Fulton St,125 ST,M,A B C D,Subway,40.811109,-73.952343,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
439,439,439,225,IRT,Lenox - White Plains Rd,125 ST,M,2 3,Subway,40.807754,-73.945495,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
392,392,392,621,IRT,Lexington Av,125 ST,M,4 5 6,Subway,40.804138,-73.937594,The Bronx,Downtown & Brooklyn,1,,,,,
438,438,438,224,IRT,Lenox - White Plains Rd,135 ST,M,2 3,Subway,40.814229,-73.94077,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
151,152,152,A14,IND,8th Av - Fulton St,135 ST,M,B C,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
