,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
1621,D34,station,40.617618,50,Avenue M,,Bk,-73.959399,B Q,station,station,D34
1622,D35,station,40.60867,51,Kings Hwy,,Bk,-73.957734,B Q,station,station,D35
1623,D32,station,40.62927,48,Avenue H,,Bk,-73.961639,B Q IBX,station,station,D32
1624,D33,station,40.625039,49,Avenue J,,Bk,-73.960803,B Q,station,station,D33
1625,D30,station,40.640927,46,Cortelyou Rd,,Bk,-73.963891,B Q,station,station,D30
1626,D31,station,40.635082,47,Newkirk Plaza,,Bk,-73.962793,B Q,station,station,D31
1627,238,station,40.671987,341,Eastern Pkwy - Brooklyn Museum,,Bk,-73.964375,2 3,station,station,238
1629,234,station,40.688246,337,Nevins St,,Bk,-73.980492,2 3 4 5,station,station,234
1631,236,station,40.680829,339,Bergen St,,Bk,-73.975098,2 3,station,station,236
1632,237,station,40.675235,340,Grand Army Plaza,,Bk,-73.971046,2 3,station,station,237
1633,230,station,40.706821,333,Wall St,,M,-74.0091,2 3,station,station,230
1634,231,station,40.697466,334,Clark St,,Bk,-73.993086,2 3,station,station,231
1636,233,station,40.690545,336,Hoyt St,,Bk,-73.985065,2 3,station,station,233
1637,618,station,40.807566,376,Brook Av,,Bx,-73.91924,6,station,station,618
1638,619,station,40.810476,377,3 Av - 138 St,,Bx,-73.926138,6,station,station,619
1640,612,station,40.826525,370,Whitlock Av,,Bx,-73.886283,6,station,station,612
1641,613,station,40.820948,371,Hunts Point Av,,Bx,-73.890549,6,station,station,613
1642,610,station,40.829521,368,Morrison Av- Sound View,,Bx,-73.874516,6,station,station,610
1643,611,station,40.828584,369,Elder Av,,Bx,-73.879159,6,station,station,611
1644,616,station,40.808719,374,E 143 St - St Mary's St,,Bx,-73.907657,6,station,station,616
1645,617,station,40.805368,375,Cypress Av,,Bx,-73.914042,6,station,station,617
1646,614,station,40.816104,372,Longwood Av,,Bx,-73.896435,6,station,station,614
1647,615,station,40.812118,373,E 149 St,,Bx,-73.904098,6,station,station,615
1648,D43,station,40.577422,58,Coney Island - Stillwell Av,,Bk,-73.981233,D F N Q,station,station,D43
1649,D42,station,40.576127,57,W 8 St - NY Aquarium,,Bk,-73.975939,F Q,station,station,D42
1650,D41,station,40.576312,56,Ocean Pkwy,,Bk,-73.968501,Q,station,station,D41
1651,D40,station,40.577621,55,Brighton Beach,,Bk,-73.961376,B Q,station,station,D40
1653,A02,station,40.868072,143,Inwood - 207 St,,M,-73.919899,A,station,station,A02
1654,A03,station,40.865491,144,Dyckman St,,M,-73.927271,A,station,station,A03
1655,A06,station,40.851695,146,181 St,,M,-73.937969,A,station,station,A06
1656,A07,station,40.847391,147,175 St,,M,-73.939704,A,station,station,A07
1657,A05,station,40.859022,145,190 St,,M,-73.93418,A,station,station,A05
1658,133,station,40.733422,323,Christopher St - Sheridan Sq,,M,-74.002906,1,station,station,133
1660,131,station,40.74104,321,18 St,,M,-73.997871,1,station,station,131
1661,130,station,40.744081,320,23 St,,M,-73.995657,1,station,station,130
1662,137,station,40.715478,327,Chambers St,,M,-74.009266,1 2 3,station,station,137
1663,136,station,40.719318,326,Franklin St,,M,-74.006886,1,station,station,136
1664,135,station,40.722854,325,Canal St,,M,-74.006277,1,station,station,135
1665,134,station,40.728251,324,Houston St,,M,-74.005367,1,station,station,134
1666,139,station,40.707513,329,Rector St,,M,-74.013783,1,station,station,139
1667,138,station,40.711835,328,Cortlandt St,,M,-74.012188,1,station,station,138
1668,407,station,40.862803,382,Fordham Rd,,Bx,-73.901034,4,station,station,407
1669,406,station,40.86776,381,Kingsbridge Rd,,Bx,-73.897174,4,station,station,406
1670,405,station,40.873412,380,Bedford Park Blvd - Lehman College,,Bx,-73.890064,4,station,station,405
1671,402,station,40.87975,379,Mosholu Pkwy,,Bx,-73.884655,4,station,station,402
1672,401,station,40.886037,378,Woodlawn,,Bx,-73.878751,4,station,station,401
1673,R34,station,40.665414,30,Prospect Av,,Bk,-73.992872,R,station,station,R34
1674,R35,station,40.660397,31,25 St,,Bk,-73.998091,R,station,station,R35
1675,R36,station,40.655144,32,36 St,,Bk,-74.003549,D N R,station,station,R36
1676,R30,station,40.690635,26,DeKalb Av,,Bk,-73.981824,B Q R,station,station,R30
1678,409,station,40.853453,384,Burnside Av,,Bx,-73.907684,4,station,station,409
1679,408,station,40.858407,383,183 St,,Bx,-73.903879,4,station,station,408
1680,L08,station,40.717304,120,Bedford Av,,Bk,-73.956872,L,station,station,L08
1681,L06,station,40.730953,119,1 Av,,M,-73.981628,L,station,station,L06
1682,L05,station,40.732849,118,3 Av,,M,-73.986122,L,station,station,L05
1686,708,station,40.748408,452,90 St - Elmhurst Av,,Q,-73.876613,7,station,station,708
1687,709,station,40.747659,453,82 St - Jackson Hts,,Q,-73.883697,7,station,station,709
1688,705,station,40.75173,449,111 St,,Q,-73.855334,7,station,station,705
1689,706,station,40.749865,450,103 St - Corona Plaza,,Q,-73.8627,7,station,station,706
1690,707,station,40.749145,451,Junction Blvd,,Q,-73.869527,7,station,station,707
1691,701,station,40.7596,447,Flushing - Main St,,Q,-73.83003,7,station,station,701
1692,702,station,40.754622,448,Mets - Willets Point,,Q,-73.845625,7,station,station,702
1693,J30,station,40.68963,95,Gates Av,,Bk,-73.92227,J Z,station,station,J30
1694,J31,station,40.693342,96,Kosciuszko St,,Bk,-73.928814,J,station,station,J31
1695,D07,station,40.85041,215,Tremont Av,,Bx,-73.905227,B D,station,station,D07
1696,D06,station,40.856093,214,182-183 Sts,,Bx,-73.900741,B D,station,station,D06
1697,D05,station,40.861296,213,Fordham Rd,,Bx,-73.897749,B D,station,station,D05
1698,D04,station,40.866978,212,Kingsbridge Rd,,Bx,-73.893509,B D,station,station,D04
1699,D03,station,40.873244,211,Bedford Park Blvd,,Bx,-73.887138,B D,station,station,D03
1700,D01,station,40.874811,210,Norwood - 205 St,,Bx,-73.878855,D,station,station,D01
1701,D09,station,40.839306,217,170 St,,Bx,-73.9134,B D,station,station,D09
1702,D08,station,40.8459,216,174-175 Sts,,Bx,-73.910136,B D,station,station,D08
1703,245,station,40.645098,357,Beverly Rd,,Bk,-73.948959,2 5,station,station,245
1704,244,station,40.650843,356,Church Av,,Bk,-73.949575,2 5,station,station,244
1705,A44,station,40.683263,177,Clinton - Washington Avs,,Bk,-73.965838,C,station,station,A44
1706,246,station,40.639967,358,Newkirk Av,,Bk,-73.948411,2 5,station,station,246
1707,241,station,40.667883,353,President St,,Bk,-73.950683,2 5,station,station,241
1708,A43,station,40.686113,176,Lafayette Av,,Bk,-73.973946,C,station,station,A43
1709,243,station,40.656652,355,Winthrop St,,Bk,-73.9502,2 5,station,station,243
1710,242,station,40.662742,354,Sterling St,,Bk,-73.95085,2 5,station,station,242
1711,F12,station,40.760167,276,5 Av/53 St,,M,-73.975224,E M,station,station,F12
1713,F16,station,40.713715,234,East Broadway,,M,-73.990173,F,station,station,F16
1714,248,station,40.669847,343,Nostrand Av,,Bk,-73.950466,3,station,station,248
1715,F14,station,40.723402,232,2 Av,,M,-73.989938,F,station,station,F14
1716,A49,station,40.678822,182,Ralph Av,,Bk,-73.920786,C,station,station,A49
1717,N10,station,40.592721,79,86 St,,Bk,-73.97823,N,station,station,N10
1718,623,station,40.79502,394,110 St,,M,-73.94425,6,station,station,623
1719,622,station,40.798629,393,116 St,,M,-73.941617,6,station,station,622
1720,621,station,40.804138,392,125 St,,M,-73.937594,4 5 6,station,station,621
1721,627,station,40.77362,398,77 St,,M,-73.959874,6,station,station,627
1722,626,station,40.779492,397,86 St,,M,-73.955589,4 5 6,station,station,626
1723,625,station,40.785672,396,96 St,,M,-73.95107,6,station,station,625
1724,624,station,40.7906,395,103 St,,M,-73.947478,6,station,station,624
1726,628,station,40.768141,399,68 St - Hunter College,,M,-73.96387,6,station,station,628
1727,A33,station,40.726227,168,Spring St,,M,-74.003739,C E,station,station,A33
1730,A30,station,40.745906,165,23 St,,M,-73.998041,C E,station,station,A30
1732,A34,station,40.720824,169,Canal St,,M,-74.005229,A C E,station,station,A34
1734,L26,station,40.664038,135,Livonia Av,,Bk,-73.900571,L IBX,station,station,L26
1735,L29,station,40.646654,138,Canarsie - Rockaway Pkwy,,Bk,-73.90185,L,station,station,L29
1736,L28,station,40.650573,137,E 105 St,,Bk,-73.899485,L,station,station,L28
1738,A50,station,40.67834,183,Rockaway Av,,Bk,-73.911946,C,station,station,A50
1739,A53,station,40.67271,186,Van Siclen Av,,Bk,-73.890358,C,station,station,A53
1740,M11,station,40.697207,97,Myrtle Av,,Bk,-73.935657,J M Z,station,station,M11
1741,M10,station,40.697857,114,Central Av,,Bk,-73.927397,M,station,station,M10
1742,M13,station,40.703869,99,Lorimer St,,Bk,-73.947408,J M,station,station,M13
1743,A52,station,40.674542,185,Liberty Av,,Bk,-73.896548,C,station,station,A52
1744,R41,station,40.641362,35,59 St,,Bk,-74.017881,N R,station,station,R41
1745,M14,station,40.70687,100,Hewes St,,Bk,-73.953431,J M,station,station,M14
1746,R43,station,40.629742,37,77 St,,Bk,-74.02551,R,station,station,R43
1747,M16,station,40.708359,101,Marcy Av,,Bk,-73.957757,J M Z,station,station,M16
1748,M19,station,40.72028,103,Bowery,,M,-73.993915,J Z,station,station,M19
1749,A55,station,40.675377,188,Euclid Av,,Bk,-73.872106,A C,station,station,A55
1750,A57,station,40.677044,189,Grant Av,,Bk,-73.86505,A,station,station,A57
1751,G08,station,40.721691,261,Forest Hills - 71 Av,,Q,-73.844521,E F M R,station,station,G08
1752,G09,station,40.726523,262,67 Av,,Q,-73.852719,M R,station,station,G09
1753,G05,station,40.702147,278,Jamaica Center - Parsons/Archer,,Q,-73.801109,E J Z,station,station,G05
1754,G06,station,40.700486,279,Sutphin Blvd - Archer Av - JFK Airport,,Q,-73.807969,E J Z,station,station,G06
1755,G07,station,40.702566,280,Jamaica - Van Wyck,,Q,-73.816859,E,station,station,G07
1756,201,station,40.903125,416,Wakefield - 241 St,,Bx,-73.85062,2,station,station,201
1757,205,station,40.893193,418,233 St,,Bx,-73.857473,2 5,station,station,205
1758,204,station,40.898379,417,Nereid Av,,Bx,-73.854376,2 5,station,station,204
1759,207,station,40.883895,420,219 St,,Bx,-73.862633,2 5,station,station,207
1760,206,station,40.888022,419,225 St,,Bx,-73.860341,2 5,station,station,206
1761,209,station,40.871356,422,Burke Av,,Bx,-73.867164,2 5,station,station,209
1762,208,station,40.87785,421,Gun Hill Rd,,Bx,-73.866256,2 5,station,station,208
1764,F22,station,40.67358,238,Smith - 9 Sts,,Bk,-73.995959,F G,station,station,F22
1765,F21,station,40.680303,237,Carroll St,,Bk,-73.995048,F G,station,station,F21
1766,F20,station,40.686145,236,Bergen St,,Bk,-73.990862,F G,station,station,F20
1767,F27,station,40.644041,243,Church Av,,Bk,-73.979678,F,station,station,F27
1768,F26,station,40.650782,242,Fort Hamilton Pkwy,,Bk,-73.975776,F G,station,station,F26
1769,F25,station,40.660365,241,15 St - Prospect Park,,Bk,-73.979493,F G,station,station,F25
1770,F24,station,40.666271,240,7 Av,,Bk,-73.980305,F G,station,station,F24
1771,F29,station,40.636119,244,Ditmas Av,,Bk,-73.978172,F,station,station,F29
1772,120,station,40.793919,310,96 St,,M,-73.972323,1 2 3,station,station,120
1773,121,station,40.788644,311,86 St,,M,-73.976218,1,station,station,121
1774,122,station,40.783934,312,79 St,,M,-73.979917,1,station,station,122
1775,123,station,40.778453,313,72 St,,M,-73.98197,1 2 3,station,station,123
1776,124,station,40.77344,314,66 St - Lincoln Center,,M,-73.982209,1,station,station,124
1778,126,station,40.761728,316,50 St,,M,-73.983849,1,station,station,126
1780,128,station,40.750373,318,34 St - Penn Station,,M,-73.991057,1 2 3,station,station,128
1781,129,station,40.747215,319,28 St,,M,-73.993365,1,station,station,129
1782,R01,station,40.775036,1,Astoria - Ditmars Blvd,,Q,-73.912034,N W,station,station,R01
1783,R03,station,40.770258,2,Astoria Blvd,,Q,-73.917843,N W,station,station,R03
1784,R05,station,40.76182,4,Broadway,,Q,-73.925508,N W,station,station,R05
1785,R04,station,40.766779,3,30 Av,,Q,-73.921479,N W,station,station,R04
1786,R06,station,40.756804,5,36 Av,,Q,-73.929575,N W,station,station,R06
1788,R08,station,40.752882,6,39 Av,,Q,-73.932755,N W,station,station,R08
1791,416,station,40.813224,391,138 St - Grand Concourse,,Bx,-73.929849,4 5,station,station,416
1792,410,station,40.84848,385,176 St,,Bx,-73.911794,4,station,station,410
1793,411,station,40.844434,386,Mt Eden Av,,Bx,-73.914685,4,station,station,411
1794,412,station,40.840075,387,170 St,,Bx,-73.917791,4,station,station,412
1795,413,station,40.835537,388,167 St,,Bx,-73.9214,4,station,station,413
1797,419,station,40.707557,413,Wall St,,M,-74.011862,4 5,station,station,419
1798,L19,station,40.695602,129,Halsey St,,Q,-73.904084,L,station,station,L19
1799,L14,station,40.706152,125,Morgan Av,,Bk,-73.933147,L,station,station,L14
1800,L15,station,40.706607,126,Jefferson St,,Bk,-73.922913,L,station,station,L15
1801,L16,station,40.703811,127,DeKalb Av,,Bk,-73.918425,L,station,station,L16
1804,L11,station,40.714565,122,Graham Av,,Bk,-73.944053,L,station,station,L11
1805,L12,station,40.711926,123,Grand St,,Bk,-73.94067,L,station,station,L12
1806,L13,station,40.707739,124,Montrose Av,,Bk,-73.93985,L,station,station,L13
1807,R45,station,40.616622,39,Bay Ridge - 95 St,,Bk,-74.030876,R,station,station,R45
1808,R44,station,40.622687,38,86 St,,Bk,-74.028398,R,station,station,R44
1809,M12,station,40.70026,98,Flushing Av,,Bk,-73.941126,J M,station,station,M12
1810,R40,station,40.645069,34,53 St,,Bk,-74.014034,R,station,station,R40
1812,R42,station,40.634967,36,Bay Ridge Av,,Bk,-74.023377,R,station,station,R42
1814,B04,station,40.754203,221,21 St - Queensbridge,,Q,-73.942836,F,station,station,B04
1815,B06,station,40.759145,222,Roosevelt Island,,M,-73.95326,F,station,station,B06
1816,B08,station,40.764629,223,Lexington Av/63 St,,M,-73.966113,F Q,station,station,B08
1817,D14,station,40.762862,277,7 Av,,M,-73.981637,B D E,station,station,D14
1818,D15,station,40.758663,225,47-50 Sts - Rockefeller Ctr,,M,-73.981329,B D F M,station,station,D15
1821,D10,station,40.833771,218,167 St,,Bx,-73.91844,B D,station,station,D10
1823,D12,station,40.830135,220,155 St,,M,-73.938209,B D,station,station,D12
1825,D18,station,40.742878,228,23 St,,M,-73.992821,F M,station,station,D18
1827,252,station,40.661453,347,Saratoga Av,,Bk,-73.916327,3,station,station,252
1828,253,station,40.662549,348,Rockaway Av,,Bk,-73.908946,3,station,station,253
1829,250,station,40.668897,345,Crown Hts - Utica Av,,Bk,-73.932942,3 4,station,station,250
1830,251,station,40.664717,346,Sutter Av - Rutland Rd,,Bk,-73.92261,3,station,station,251
1831,256,station,40.665449,351,Van Siclen Av,,Bk,-73.889395,3,station,station,256
1832,257,station,40.666235,352,New Lots Av,,Bk,-73.884079,3,station,station,257
1833,254,station,40.663515,349,Junius St,,Bk,-73.902447,3,station,station,254
1834,255,station,40.664635,350,Pennsylvania Av,,Bk,-73.894895,3,station,station,255
1835,504,station,40.858985,445,Pelham Pkwy,,Bx,-73.855359,5,station,station,504
1836,505,station,40.854364,446,Morris Park,,Bx,-73.860495,5,station,station,505
1837,502,station,40.878663,443,Baychester Av,,Bx,-73.838591,5,station,station,502
1838,503,station,40.869526,444,Gun Hill Rd,,Bx,-73.846384,5,station,station,503
1839,501,station,40.8883,442,Eastchester - Dyre Av,,Bx,-73.830834,5,station,station,501
1842,632,station,40.746081,403,33 St,,M,-73.982076,6,station,station,632
1843,633,station,40.74307,404,28 St,,M,-73.984264,6,station,station,633
1844,634,station,40.739864,405,23 St,,M,-73.986599,6,station,station,634
1846,636,station,40.730054,407,Astor Pl,,M,-73.99107,6,station,station,636
1848,638,station,40.722301,409,Spring St,,M,-73.997141,6,station,station,638
1850,A20,station,40.785868,158,86 St,,M,-73.968916,B C,station,station,A20
1851,A21,station,40.781433,159,81 St - Museum of Natural History,,M,-73.972143,B C,station,station,A21
1852,A22,station,40.775594,160,72 St,,M,-73.97641,B C,station,station,A22
1854,A25,station,40.762456,162,50 St,,M,-73.985984,C E,station,station,A25
1856,A28,station,40.752287,164,34 St - Penn Station,,M,-73.993391,A C E,station,station,A28
1857,R32,station,40.677316,28,Union St,,Bk,-73.98311,R,station,station,R32
1859,M06,station,40.702762,111,Seneca Av,,Q,-73.90774,M,station,station,M06
1860,M04,station,40.706186,109,Fresh Pond Rd,,Q,-73.895877,M,station,station,M04
1861,M05,station,40.704423,110,Forest Av,,Q,-73.903077,M,station,station,M05
1862,M01,station,40.711396,108,Middle Village - Metropolitan Av,,Q,-73.889601,M IBX,station,station,M01
1864,M09,station,40.698664,113,Knickerbocker Av,,Bk,-73.919711,M,station,station,M09
1865,G31,station,40.700377,287,Flushing Av,,Bk,-73.950234,G,station,station,G31
1866,G30,station,40.706092,286,Broadway,,Bk,-73.950308,G,station,station,G30
1867,G33,station,40.689627,289,Bedford - Nostrand Avs,,Bk,-73.953522,G,station,station,G33
1868,G32,station,40.694568,288,Myrtle - Willoughby Avs,,Bk,-73.949046,G,station,station,G32
1869,G35,station,40.688089,291,Clinton - Washington Avs,,Bk,-73.966839,G,station,station,G35
1870,G34,station,40.688873,290,Classon Av,,Bk,-73.96007,G,station,station,G34
1871,G36,station,40.687119,292,Fulton St,,Bk,-73.975375,G,station,station,G36
1873,216,station,40.829993,429,Freeman St,,Bx,-73.891865,2 5,station,station,216
1874,217,station,40.824073,430,Simpson St,,Bx,-73.893064,2 5,station,station,217
1875,214,station,40.840295,427,West Farms Sq - E Tremont Av,,Bx,-73.880049,2 5,station,station,214
1876,215,station,40.837288,428,174 St,,Bx,-73.887734,2 5,station,station,215
1877,212,station,40.848828,425,Bronx Park East,,Bx,-73.868457,2 5,station,station,212
1878,213,station,40.841894,426,E 180 St,,Bx,-73.873488,2 5,station,station,213
1879,210,station,40.865462,423,Allerton Av,,Bx,-73.867352,2 5,station,station,210
1880,211,station,40.857192,424,Pelham Pkwy,,Bx,-73.867615,2 5,station,station,211
1881,218,station,40.822181,431,Intervale Av,,Bx,-73.896736,2 5,station,station,218
1882,219,station,40.819585,432,Prospect Av,,Bx,-73.90177,2 5,station,station,219
1883,F30,station,40.629755,245,18 Av,,Bk,-73.976971,F,station,station,F30
1884,F31,station,40.625322,246,Avenue I,,Bk,-73.976127,F IBX,station,station,F31
1885,F32,station,40.620769,247,Bay Pkwy,,Bk,-73.975264,F,station,station,F32
1886,F33,station,40.61514,248,Avenue N,,Bk,-73.974197,F,station,station,F33
1887,F34,station,40.608944,249,Avenue P,,Bk,-73.973022,F,station,station,F34
1888,F35,station,40.603217,250,Kings Hwy,,Bk,-73.972361,F,station,station,F35
1889,F36,station,40.596063,251,Avenue U,,Bk,-73.973357,F,station,station,F36
1890,F38,station,40.58962,252,Avenue X,,Bk,-73.97425,F,station,station,F38
1891,F39,station,40.581011,253,Neptune Av,,Bk,-73.974574,F,station,station,F39
1892,A64,station,40.684331,194,111 St,,Q,-73.832163,A,station,station,A64
1893,A65,station,40.685951,195,Ozone Park - Lefferts Blvd,,Q,-73.825798,A,station,station,A65
1894,A60,station,40.679843,191,88 St,,Q,-73.85147,A,station,station,A60
1895,A61,station,40.680429,192,Rockaway Blvd,,Q,-73.843853,A,station,station,A61
1896,A63,station,40.681711,193,104 St,,Q,-73.837683,A,station,station,A63
1897,H09,station,40.595398,207,Beach 36 St,,Q,-73.768175,A,station,station,H09
1898,H08,station,40.592943,206,Beach 44 St,,Q,-73.776013,A,station,station,H08
1899,H03,station,40.660476,198,Howard Beach - JFK Airport,,Q,-73.830301,A,station,station,H03
1900,H02,station,40.668234,197,Aqueduct - N Conduit Av,,Q,-73.834058,A,station,station,H02
1901,H01,station,40.668234,196,Aqueduct Racetrack,,Q,-73.834058,A,station,station,H01
1902,H07,station,40.592374,205,Beach 60 St,,Q,-73.788522,A,station,station,H07
1903,H06,station,40.590927,204,Beach 67 St,,Q,-73.796924,A,station,station,H06
1904,H04,station,40.608382,199,Broad Channel,,Q,-73.815925,A S,station,station,H04
1905,115,station,40.822008,305,137 St - City College,,M,-73.953676,1,station,station,115
1906,114,station,40.826551,304,145 St,,M,-73.95036,1,station,station,114
1907,117,station,40.807722,307,116 St - Columbia University,,M,-73.96411,1,station,station,117
1908,116,station,40.815581,306,125 St,,M,-73.958372,1,station,station,116
1909,111,station,40.849505,301,181 St,,M,-73.933596,1,station,station,111
1910,110,station,40.855225,300,191 St,,M,-73.929412,1,station,station,110
1911,113,station,40.834041,303,157 St,,M,-73.94489,1,station,station,113
1913,119,station,40.799446,309,103 St,,M,-73.968379,1,station,station,119
1914,118,station,40.803967,308,Cathedral Pkwy,,M,-73.966847,1,station,station,118
1917,R14,station,40.764664,9,57 St - 7 Av,,M,-73.980658,N Q R W,station,station,R14
1918,R15,station,40.759901,10,49 St,,M,-73.984139,N R W,station,station,R15
1919,R13,station,40.764811,8,5 Av/59 St,,M,-73.973347,N W R,station,station,R13
1921,R18,station,40.745494,13,28 St,,M,-73.988691,R W,station,station,R18
1922,R19,station,40.741303,14,23 St,,M,-73.989344,R W,station,station,R19
1923,420,station,40.704817,414,Bowling Green,,M,-74.014065,4 5,station,station,420
1925,301,station,40.82388,436,Harlem - 148 St,,M,-73.93647,3,station,station,301
1926,302,station,40.820421,437,145 St,,M,-73.936245,3,station,station,302
